51	0	0.1173	10.0612	0.99	0.0938	0.0001
51	1	1.0668	3.541	0.4053	0.0007	0.0678
51	2	0.3206	4.7802	0.9956	0.2419	0.0144
51	3	0.0628	5.6482	0.9896	0.0487	0.0062
51	4	0.0283	5.8523	0.9905	0.0183	0.0049
51	5	0.0217	5.8014	0.989	0.0104	0.0047
51	6	0.0386	5.1784	0.9737	0.011	0.0091
51	7	0.0552	5.2124	0.9881	0.041	0.0086
51	8	0.2452	2.0644	0.8306	0.0403	0.1594
51	9	0.3571	7.5209	0.9961	0.2631	0.0011
51	10	0.048	7.5035	0.958	0.0041	0.001
51	11	0.0825	6.3895	0.9248	0.0014	0.0035
51	12	0.0292	4.6961	0.9871	0.0157	0.0165
51	13	0.0609	4.8425	0.9818	0.0405	0.0122
51	14	0.1021	4.3777	0.9289	0.0251	0.0196
51	15	0.0563	4.8314	0.9824	0.0372	0.0108
51	16	0.0786	5.855	0.984	0.0581	0.0045
51	17	0.061	5.4519	0.9572	0.0159	0.0067
51	18	0.0262	5.2735	0.9882	0.014	0.0074
51	19	0.0376	5.121	0.9819	0.0186	0.0107
51	20	0.0601	4.4729	0.9621	0.0202	0.0169
51	21	0.0758	5.2941	0.983	0.0525	0.008
51	22	0.0548	5.2075	0.9704	0.0234	0.0094
51	23	0.08	4.6622	0.9546	0.0312	0.0158
51	24	0.1257	3.5865	0.9178	0.0357	0.0403
51	25	0.2513	8.4504	0.9817	0.1876	0.0004
51	26	0.309	4.1513	0.763	0.0022	0.0273
51	27	0.0499	4.0211	0.9932	0.041	0.0309
51	28	0.0707	5.4976	0.9961	0.0623	0.007
51	29	0.0602	6.1012	0.9791	0.0355	0.0047
51	30	0.0325	5.8196	0.9811	0.013	0.0051
51	31	0.0435	5.2773	0.9776	0.02	0.0094
51	32	0.0315	5.3323	0.9859	0.0168	0.0078
51	33	0.0428	5.3131	0.988	0.0297	0.0077
51	34	0.0564	5.4501	0.9741	0.0275	0.0072
51	35	0.1012	3.9848	0.9277	0.0201	0.0299
51	36	0.0453	4.6879	0.9861	0.0289	0.0152
51	37	0.1856	8.882	0.9986	0.1556	0.0002
51	38	0.2314	6.1149	0.8089	0.0008	0.004
51	39	0.0463	3.9558	0.9683	0.0134	0.0363
51	40	0.1373	6.9323	0.9956	0.1159	0.0015
51	41	0.0448	6.6057	0.9675	0.0096	0.0023
51	42	0.116	4.1195	0.9051	0.0091	0.0276
51	43	0.0758	5.1627	0.9958	0.0598	0.0085
51	44	0.0396	6.0365	0.9977	0.0358	0.004
51	45	0.0301	6.2366	0.9938	0.0233	0.0032
51	46	0.2924	1.8873	0.7764	0.0052	0.2108
51	47	0.4652	10.6507	0.9998	0.3334	0.0001
51	48	0.1978	8.1807	0.8437	0.0006	0.0007
51	49	0.0134	6.5814	0.99	0.0032	0.0046
51	50	0.0348	5.7993	0.9865	0.02	0.0075
51	51	0.0354	6.7137	0.9973	0.0301	0.0026
51	52	0.0219	6.8357	0.9931	0.0146	0.0026
51	53	0.0197	7.1847	0.9835	0.0025	0.0017
51	54	0.0227	5.7515	0.9861	0.0084	0.0063
51	55	0.0557	4.9292	0.9714	0.0254	0.0112
51	56	0.0992	7.0388	0.9796	0.071	0.0017
51	57	0.0881	5.188	0.9325	0.008	0.0103
51	58	0.0377	5.2271	0.9896	0.0262	0.0104
51	59	0.0869	4.317	0.9339	0.0156	0.0246
51	60	0.1212	7.1445	0.9992	0.1065	0.0012
51	61	0.0615	6.453	0.9493	0.0066	0.0026
51	62	0.1067	4.0061	0.9093	0.0058	0.0267
51	63	0.1214	6.3802	0.9842	0.0911	0.0033
51	64	0.0199	6.7239	0.988	0.0076	0.0022
51	65	0.0847	4.6296	0.9412	0.009	0.0167
51	66	0.0597	6.0166	0.9962	0.0521	0.0042
51	67	0.0368	5.9117	0.9825	0.0183	0.0049
51	68	0.0325	5.9032	0.9856	0.015	0.0048
51	69	0.0653	4.5666	0.953	0.0153	0.0175
51	70	0.081	4.5365	0.9602	0.0372	0.017
51	71	0.0783	6.6481	0.9955	0.068	0.0021
51	72	0.0645	5.556	0.9478	0.0096	0.0071
51	73	0.0364	5.0618	0.9806	0.0159	0.0105
51	74	0.0375	5.784	0.9922	0.0286	0.0054
51	75	0.0194	6.0667	0.9933	0.0125	0.0042
51	76	0.0639	4.5896	0.9546	0.0158	0.0172
51	77	0.0589	6.0088	0.9955	0.0516	0.0035
51	78	0.1858	2.2337	0.8538	0.0195	0.1624
51	79	0.2698	10.4501	0.9993	0.2135	0.0001
51	80	0.2485	5.9927	0.8062	0.0009	0.0091
51	81	0.0159	4.6173	0.9957	0.0113	0.0198
51	82	0.0846	6.2832	0.9871	0.0642	0.0039
51	83	0.0619	5.2932	0.9536	0.0121	0.0084
51	84	0.0676	7.1338	0.9976	0.0611	0.0017
51	85	0.0966	5.3534	0.9157	0.0038	0.0082
51	86	0.0186	5.1678	0.9969	0.0151	0.0122
51	87	0.1688	9.6738	0.9975	0.1422	0.0001
51	88	0.2373	5.447	0.8088	0.0007	0.0082
